x,y,z,t,u,v,w,p,d,dx,dy,dz
0.0041019376,-0.0028542739,0.0483813919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043429588,-0.0024747046,0.0479606565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043969534,-0.0023770386,0.0483500618,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0010973024,0.0048751994,0.0007047018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0011054696,-0.0048730056,0.0492930852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048697265,0.0011180209,0.0492935041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048693543,-0.001119406,0.0007069905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0018577367,-0.0014256123,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0016587043,-0.0017606627,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0013805523,-0.0014414802,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001861194,0.0014283098,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0016631613,0.0017624465,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0013855927,0.0014454257,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015992902,0.0010266266,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0007167503,0.0008751601,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015964496,-0.001022454,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0007192576,-0.0008735085,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0012944696,0.0019046078,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0008757956,0.002119703,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0008381387,0.0015023343,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0012853491,-0.0019004968,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0008765502,-0.0021199127,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.000836324,-0.0014997866,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047335176,-0.0015981133,0.0495602803,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047326357,0.0016004185,0.0004381873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015095313,-0.0047661802,0.00042271,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015075344,0.004766703,0.0495810082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0019968451,0.0045839344,0.0009541352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0024955514,0.0043321233,0.0008118238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.001996949,-0.0045838953,0.0490454739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.002497795,-0.0043306754,0.0491858284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.004583453,0.0019978991,0.0490442611,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043287183,0.0025009773,0.0491888644,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045834758,-0.0019978519,0.0009577168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043285199,-0.0025011947,0.0008152146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0010140384,0.0007513908,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0013095743,-7.61484e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0008366543,-6.026e-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0009993799,-0.0007487243,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0013063863,7.93713e-05,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0008260684,6.2708e-06,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045654235,-0.0020374954,0.0492573036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045663474,0.0020356893,0.0007414236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020740728,-0.0045467882,0.0007584565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020737494,0.0045469519,0.0492444325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043479557,-0.0024646585,0.0487488282,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0024675038,0.0043464987,0.0487457688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043461675,0.0024681733,0.0012526999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0024630794,-0.0043487467,0.0012528781,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0041067,0.0003691872,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0041925,-2.54155e-05,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037109952,-3.70599e-05,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0041067,-0.0003691872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
