x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
0.000517867,-0.0049729921,0.0003518085,0.01,-5.82791e-05,-1.93034e-05,0.0,5.557146,1.842009744734696e-08,-9.29999988130703e-09,1.589999953921506e-08
0.0025001,-0.0043301,0.05,0.01,0.0,0.0,0.0,135.8261,0.0,0.0,0.0
0.0043301,0.0025001,0.05,0.01,0.0,0.0,0.0,102.5666,0.0,0.0,0.0
0.0043301,-0.0025001,0.0,0.01,0.0,0.0,0.0,6.236923,0.0,0.0,0.0
0.0025001,0.0043301,0.0,0.01,0.0,0.0,0.0,4.731764,0.0,0.0,0.0
0.0043301,0.0025,0.0,0.01,0.0,0.0,0.0,4.274415,0.0,0.0,0.0
0.0043271557,0.0025049056,0.0003517202,0.01,7.27188e-05,4.35716e-05,0.0,8.684124,7.188045714201508e-08,4.580000023679531e-08,5.5400001031102875e-08
0.0043301,-0.0025,0.05,0.01,0.0,0.0,0.0,94.86364,0.0,0.0,0.0
0.0043273309,-0.0025088005,0.0496616,0.01,0.0015825207,-0.0009499258,0.0,174.5124,1.9992535271740053e-06,1.7308999531451263e-06,-1.0004999921875424e-06
0.0025,-0.0043301,0.0,0.01,0.0,0.0,0.0,2.406305,0.0,0.0,0.0
0.0025050463,-0.0043269844,0.0003576325,0.01,-4.67835e-05,2.44503e-05,0.0,5.691616,2.719742653312096e-08,2.2999999682582484e-09,2.7100000465907215e-08
0.0025,0.0043301,0.05,0.01,0.0,0.0,0.0,58.55818,0.0,0.0,0.0
